date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:06:03	230/230	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2022%20May%202020%2017:06:04%20GMT	http://3dui.org/sites/all/color_glass/css/images	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/sites/all/color_glass/css/images	(from http://3dui.org/2017/)
13:06:03	22193/22193	---M--	200	added ('OK')	text/html	etag:%2259a8682a-56b1%22	http://3dui.org/2017/index.htm	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/index-2.html	(from http://3dui.org/2017/)
13:06:04	8534/8534	---M--	200	added ('OK')	image/png	etag:%22594a354b-2156%22	http://3dui.org/2017/sites/default/files/3dui-logo_0.png	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/sites/default/files/3dui-logo_0.png	(from http://3dui.org/2017/)
13:06:04	27841/27841	---M--	200	added ('OK')	text/html	etag:%22594a353f-6cc1%22	http://3dui.org/2017/venue.htm	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/venue.html	(from http://3dui.org/2017/)
13:06:04	203/203	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2022%20May%202020%2017:06:05%20GMT	http://3dui.org/venue	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/venue	(from http://3dui.org/2017/)
13:06:04	25827/25827	---M--	200	added ('OK')	text/html	etag:%22594a3540-64e3%22	http://3dui.org/2017/awards.htm	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/awards.html	(from http://3dui.org/2017/)
13:06:05	33179/33179	---M--	200	added ('OK')	text/html	etag:%22594a353f-819b%22	http://3dui.org/2017/program.htm	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/program.html	(from http://3dui.org/2017/)
13:06:05	205/205	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2022%20May%202020%2017:06:05%20GMT	http://3dui.org/program	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/program	(from http://3dui.org/2017/)
13:06:05	31001/31001	---M--	200	added ('OK')	text/html	etag:%22594a353c-7919%22	http://3dui.org/2017/contest.htm	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/contest.html	(from http://3dui.org/2017/)
13:06:05	30657/30657	---M--	200	added ('OK')	text/html	etag:%22594a3540-77c1%22	http://3dui.org/2017/cfp-papers.htm	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/cfp-papers.html	(from http://3dui.org/2017/)
13:06:05	28967/28967	---M--	200	added ('OK')	text/html	etag:%22594a353c-7127%22	http://3dui.org/2017/conference_committee.htm	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/conference_committee.html	(from http://3dui.org/2017/)
13:06:06	218/218	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2022%20May%202020%2017:06:06%20GMT	http://3dui.org/conference_committee	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/conference_committee	(from http://3dui.org/2017/)
13:06:06	4762/4762	---M--	200	added ('OK')	image/jpeg	etag:%22594a3551-129a%22	http://3dui.org/2017/sites/default/files/3dui2017/maud.jpg	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/sites/default/files/3dui2017/maud.jpg	(from http://3dui.org/2017/)
13:06:06	5469/5469	---M--	200	added ('OK')	image/jpeg	etag:%22594a3552-155d%22	http://3dui.org/2017/sites/default/files/3dui2017/rob-teather.jpg	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/sites/default/files/3dui2017/rob-teather.jpg	(from http://3dui.org/2017/)
13:06:06	4378/4378	---M--	200	added ('OK')	image/jpeg	etag:%22594a354f-111a%22	http://3dui.org/2017/sites/default/files/3dui2017/bruce.jpg	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/sites/default/files/3dui2017/bruce.jpg	(from http://3dui.org/2017/)
13:06:07	6862/6862	---M--	200	added ('OK')	image/jpeg	etag:%22594a354c-1ace%22	http://3dui.org/2017/sites/default/files/3dui2016/logo-ieeeDark.jpg	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/sites/default/files/3dui2016/logo-ieeeDark.jpg	(from http://3dui.org/2017/)
13:06:07	6285/6285	---M--	200	added ('OK')	image/jpeg	etag:%22594a354c-188d%22	http://3dui.org/2017/sites/default/files/3dui2016/logo-vgtcDark.jpg	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/sites/default/files/3dui2016/logo-vgtcDark.jpg	(from http://3dui.org/2017/)
13:06:07	9884/9884	---M--	200	added ('OK')	image/jpeg	etag:%22594a354c-269c%22	http://3dui.org/2017/sites/default/files/3dui2016/logo-ieeeCSDark.jpg	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/sites/default/files/3dui2016/logo-ieeeCSDark.jpg	(from http://3dui.org/2017/)
13:06:07	217/217	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2022%20May%202020%2017:06:08%20GMT	http://3dui.org/2017/2016/index.htm	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/2016/index.htm	(from http://3dui.org/2017/)
13:06:07	8254/8254	---M--	200	added ('OK')	application/javascript	etag:%22594a355f-203e%22	http://3dui.org/2017/sites/all/themes/color_glass/js/bootstrap.js-ol7r1z.js	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/sites/all/themes/color_glass/js/bootstrap.js-ol7r1z.js	(from http://3dui.org/2017/)
13:06:08	961/961	---M--	200	added ('OK')	application/javascript	etag:%223c1-558119cdd7240%22	http://3dui.org/2017/misc/pop-up.js	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/misc/pop-up.js	(from http://3dui.org/2017/)
13:06:08	320/320	---M--	200	added ('OK')	image/png	etag:%22140-55274933596c0%22	http://3dui.org/2017/misc/throbber-inactive.png	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/3dui.org/2017/misc/throbber-inactive.png	(from http://3dui.org/2017/modules/system/system.base.css-ol7r1z.css)
13:06:09	282766/282766	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.js	C:/Users/vel/Desktop/VR_Backups/2016temp3/3dui2017/ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.js	(from http://3dui.org/2017/)
